,word,allMoviesCount,%used,actionCount,scifiCount,horrorCount,comedyCount,dramaCount,fantasyCount,thrillerCount,actionRelativeUsage,scifiRelativeUsage,horrorRelativeUsage,comedyRelativeUsage,dramaRelativeUsage,fantasyRelativeUsage,thrillerRelativeUsage
43,cigarette smoking,497,0.22934933087217352,145.0,71.0,64.0,124.0,227.0,34.0,227.0,0.8828112449799196,0.704383557976737,1.0241545893719806,0.7343124999999999,1.5524751879699248,0.3586534238708152,1.5524751879699248
44,helicopter,495,0.22842639593908629,337.0,168.0,41.0,97.0,127.0,43.0,281.0,2.02467107001321,1.4777205515866425,0.5159069325735993,0.44248345035105313,0.5973071354705275,0.3702960603428067,1.571940959409594
45,brawl,492,0.22704199353945548,369.0,171.0,40.0,109.0,85.0,88.0,233.0,2.311586776859504,1.5073640645069217,0.5023696682464455,0.5027707910750507,0.38275247524752476,0.790927277175712,1.2293317865429234
46,beating,487,0.22473465620673744,255.0,105.0,48.0,92.0,169.0,60.0,242.0,1.6197486033519553,0.9875643986498491,0.6890574214517876,0.476013651877133,0.9583690773067332,0.5960960244356417,1.509761316872428
47,cell phone,485,0.2238117212736502,228.0,106.0,66.0,149.0,134.0,47.0,249.0,1.380750998668442,0.9889757436149189,0.9578313253012049,0.8164481927710843,0.721221301775148,0.45642066305902845,1.5513041095890412
48,kidnapping,481,0.22196585140747577,288.0,129.0,61.0,116.0,111.0,96.0,229.0,1.7652614555256065,1.1661621397470454,0.8341073271413829,0.5772078774617068,0.5493231773667029,0.9302672004468858,1.3002397003745318
49,martial arts,464,0.2141209044762344,404.0,169.0,27.0,104.0,57.0,96.0,223.0,2.7180355029585797,1.5109926297632115,0.33974358974358976,0.48462295081967205,0.2534076246334311,0.8829975256274302,1.1834352392065344
50,hospital,463,0.2136594370096908,141.0,85.0,69.0,118.0,199.0,49.0,196.0,0.8956256983240223,0.8968000911006093,1.1602157360406091,0.7262029769959404,1.3754589665653494,0.548868202037595,1.348574886535552
51,gun,460,0.21227503461006,212.0,99.0,57.0,96.0,186.0,45.0,237.0,1.3391333333333333,0.9680197353666741,0.8631428571428571,0.5222583732057416,1.1339517426273458,0.4591686682025391,1.5509007194244604
52,blockbuster,460,0.21227503461006,229.0,137.0,25.0,154.0,118.0,106.0,134.0,1.545240356083086,1.4567526468309757,0.37727790432801817,0.9351028037383178,0.6836484076433121,1.2037350208208317,0.7924993498049415
